Player,Age,Tm,MP,TRB,AST,STL,BLK,PS/G,PER,TS%,USG%,Year,box,W/L%,playoffs,Share,got_votes,gp_pct
Shareef Abdur-Rahim,28,POR,34.6,7.3,2.1,0.9,0.5,16.8,18.7,0.581,22.1,2005,10.8,0.32899999999999996,0,0.0,0,0.6585365853658537
Rafer Alston,28,TOR,34.0,3.5,6.4,1.5,0.1,14.2,16.5,0.522,21.2,2005,11.5,0.402,0,0.0,0,0.975609756097561
Derek Anderson,30,POR,26.4,2.7,3.0,0.8,0.1,9.2,11.7,0.503,18.5,2005,6.6,0.32899999999999996,0,0.0,0,0.573170731707317
Carmelo Anthony,20,DEN,34.8,5.7,2.6,0.9,0.4,20.8,16.7,0.526,29.2,2005,9.600000000000001,0.598,1,0.0,0,0.9146341463414634
Chucky Atkins,30,LAL,35.4,2.4,4.4,0.9,0.0,13.6,13.4,0.5579999999999999,17.9,2005,7.700000000000001,0.415,0,0.0,0,1.0
Shane Battier,26,MEM,31.5,5.2,1.6,1.1,1.0,9.9,14.8,0.555,14.8,2005,8.9,0.5489999999999999,1,0.0,0,0.975609756097561
Raja Bell,28,UTA,28.4,3.2,1.4,0.7,0.1,12.3,12.2,0.527,20.9,2005,5.3999999999999995,0.317,0,0.0,0,0.7682926829268293
Mike Bibby,26,SAC,38.6,4.2,6.8,1.6,0.4,19.6,19.2,0.5429999999999999,23.8,2005,13.0,0.61,1,0.0,0,0.975609756097561
Chauncey Billups,28,DET,35.8,3.4,5.8,1.0,0.1,16.5,19.0,0.609,20.7,2005,10.299999999999999,0.659,1,0.0,0,0.975609756097561
Mark Blount,29,BOS,26.0,4.8,1.6,0.4,0.8,9.4,12.5,0.5589999999999999,17.9,2005,7.6000000000000005,0.5489999999999999,1,0.0,0,1.0
Jiri Welsch,24,BOS,26.9,3.7,2.3,1.2,0.1,9.2,12.6,0.531,17.4,2004,7.3,0.439,1,0.0,0,0.9878048780487805
Antoine Walker,27,DAL,34.6,8.3,4.5,0.8,0.8,14.0,15.8,0.475,21.8,2004,14.400000000000002,0.634,1,0.0,0,1.0
Brendan Haywood,25,WAS,27.4,6.8,0.8,0.8,1.7,9.4,16.5,0.588,14.9,2005,10.1,0.5489999999999999,1,0.0,0,0.8292682926829268
Dwyane Wade,22,MIA,34.9,4.0,4.5,1.4,0.6,16.2,17.6,0.53,25.0,2004,10.5,0.512,1,0.0,0,0.7439024390243902
Glenn Robinson,31,PHI,31.8,4.5,1.4,1.0,0.2,16.6,15.0,0.518,27.4,2004,7.1000000000000005,0.402,0,0.0,0,0.5121951219512195
Brian Skinner,27,MIL,28.2,7.3,0.9,0.5,1.1,10.5,14.4,0.513,18.7,2004,9.799999999999999,0.5,1,0.0,0,0.6829268292682927
Joe Smith,28,MIL,29.7,8.5,1.0,0.6,1.2,10.9,16.6,0.51,18.0,2004,11.299999999999999,0.5,1,0.0,0,0.926829268292683
Eric Snow,30,PHI,36.2,3.4,6.9,1.2,0.1,10.3,13.5,0.494,16.5,2004,11.6,0.402,0,0.0,0,1.0
Latrell Sprewell,33,MIN,37.8,3.8,3.5,1.1,0.3,16.8,14.7,0.493,23.6,2004,8.700000000000001,0.7070000000000001,1,0.0,0,1.0
Jerry Stackhouse,29,WAS,29.8,3.6,4.0,0.9,0.1,13.9,13.2,0.494,26.0,2004,8.6,0.305,0,0.0,0,0.3170731707317073
Damon Stoudamire,30,POR,38.0,3.8,6.1,1.2,0.1,13.4,14.8,0.508,19.2,2004,11.199999999999998,0.5,0,0.0,0,1.0
Amar'e Stoudemire,21,PHO,36.8,9.0,1.4,1.2,1.6,20.6,19.8,0.536,27.5,2004,13.2,0.354,0,0.0,0,0.6707317073170732
Maurice Taylor,27,HOU,27.7,5.1,1.4,0.6,0.6,11.5,13.6,0.512,22.7,2004,7.699999999999999,0.5489999999999999,1,0.0,0,0.9146341463414634
Jason Terry,26,ATL,37.3,4.1,5.4,1.5,0.2,16.8,16.2,0.519,23.2,2004,11.2,0.341,0,0.0,0,0.9878048780487805
Kenny Thomas,26,PHI,36.5,10.1,1.5,1.1,0.4,13.6,15.9,0.527,19.6,2004,13.1,0.402,0,0.0,0,0.9024390243902439
Kurt Thomas,31,NYK,31.9,8.3,1.9,0.7,1.0,11.1,14.1,0.503,18.5,2004,11.9,0.47600000000000003,1,0.0,0,0.975609756097561
Jamaal Tinsley,25,IND,26.5,2.6,5.8,1.6,0.3,8.3,16.4,0.541,17.5,2004,10.3,0.7440000000000001,1,0.0,0,0.6341463414634146
Hedo Turkoglu,24,SAS,25.9,4.5,1.9,1.0,0.4,9.2,14.1,0.516,18.1,2004,7.800000000000001,0.695,1,0.0,0,0.975609756097561
Nick Van Exel,32,GSW,32.2,2.7,5.3,0.5,0.1,12.6,13.1,0.469,22.1,2004,8.6,0.451,0,0.0,0,0.47560975609756095
Carlos Boozer,23,UTA,34.7,9.0,2.8,0.8,0.5,17.8,19.2,0.56,24.6,2005,13.100000000000001,0.317,0,0.0,0,0.6219512195121951
Chris Bosh,20,TOR,37.2,8.9,1.9,0.9,1.4,16.8,17.5,0.547,21.7,2005,13.100000000000001,0.402,0,0.0,0,0.9878048780487805
Bruce Bowen,33,SAS,32.0,3.5,1.5,0.7,0.5,8.2,9.5,0.521,12.5,2005,6.2,0.72,1,0.0,0,1.0
Earl Boykins,28,DEN,26.4,1.7,4.5,1.0,0.1,12.4,17.1,0.53,22.2,2005,7.3,0.598,1,0.0,0,1.0
Ndudi Ebi,20,MIN,27.0,8.0,0.5,0.5,0.5,13.5,17.8,0.541,24.0,2005,9.5,0.537,0,0.0,0,0.024390243902439025
Michael Finley,31,DAL,36.8,4.1,2.6,0.8,0.3,15.7,14.3,0.519,19.5,2005,7.799999999999999,0.7070000000000001,1,0.0,0,0.7804878048780488
